title,type,price,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,postalcode
Flat / apartment for rent in calle drácena,Flat,1600,False,Estudio Salamanca,80,,1st,,east,2,2,True,True,False,True,False,False,False,False,False,"Calle drácena, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in Ciudad Jardín,Flat,1950,False,Area Casa,121,120.0,2nd,,,3,2,True,True,False,True,False,True,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in avenida de Alberto de Alcocer,Flat,3300,False,Promora Madrid,175,,4th,,west,4,3,True,True,True,True,True,True,False,True,False,"Avenida de Alberto de Alcocer, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in Ciudad Jardín,Flat,1350,True,,85,,2nd,,,2,2,True,True,False,True,True,False,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in del Cardenal Siliceo,Flat,1650,False,SOCANCHO HOMES,115,,3rd,,east,4,2,True,True,False,True,False,False,True,False,False,"del Cardenal Siliceo, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle del Príncipe de Vergara,Flat,1350,False,Innorte Gestión Inmobiliaria,85,,1st,,south,2,2,True,True,False,True,False,False,False,False,False,"Calle del Príncipe de Vergara, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
Flat / apartment for rent in paseo de la Castellana,Flat,1200,False,Andrés Carro Propiedades,70,,6th,,,1,1,True,True,False,True,False,False,False,False,False,"Paseo de la Castellana, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle del Guadalquivir,Flat,2500,False,ESTABLÉS INMOBILIARIA Y ABOGADOS,130,112.0,1st,,west,2,2,True,True,True,True,False,False,False,False,False,"Calle del Guadalquivir, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28006.0
 Terraced house for rent in calle CHARCA VERDE,Terraced,1680,False,Antorán Inmobiliaria,60,,1,,,1,1,True,False,False,True,True,False,False,False,False,"Calle CHARCA VERDE, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in Ciudad Jardín,Flat,1800,False,Engel & Völkers Madrid,130,95.0,130,1986.0,,3,2,True,True,False,True,False,False,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
